platform,case,pe-count,cost,throughput,initime,runtime,finaltime,type
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,642.91,33.45,123.3,219.387,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,512,545.58,22.52,135.043,325.805,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,697.78,35.22,123.672,208.347,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,465.67,6.6,121.116,1112.34,0.01,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,640,605.99,25.35,123.679,289.505,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,693.9,35.42,120.003,207.191,0.008,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,497.64,12.35,134.787,594.355,0.005,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,464.43,6.61,125.805,1109.388,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,697.79,35.22,132.898,208.35,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,512,552.19,22.25,139.216,329.754,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,642.91,33.45,123.3,219.387,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,697.43,35.24,121.53,208.244,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,644.22,33.38,120.09,219.837,0.022,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,640,606.88,25.31,123.942,289.929,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,499.25,12.31,134.089,596.276,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,497.65,12.35,139.755,594.364,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,497.67,12.35,127.406,594.39,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,512,552.19,22.25,140.074,329.752,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,640,601.39,25.54,126.596,287.307,0.01,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,665.01,27.72,130.349,264.751,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,512,547.68,22.44,135.161,327.06,0.005,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,665.29,27.71,132.916,264.864,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,664.5,27.74,126.271,264.55,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,465.96,6.59,127.951,1113.033,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,459.61,6.68,132.244,1097.864,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,494.86,12.42,134.186,591.03,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,641.4,33.53,123.319,218.872,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,696.61,35.28,123.71,207.999,0.037,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,512,550.77,22.31,136.63,328.903,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,698.58,35.18,115.096,208.588,0.008,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,464.24,6.62,129.204,1108.935,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,497.89,12.34,135.098,594.652,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,733.9,25.12,117.364,292.179,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,498.13,12.33,129.665,594.942,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,663.3,27.79,127.815,264.071,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,496.27,12.38,133.639,592.715,0.005,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,660.96,27.89,130.605,263.141,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,643.35,33.43,126.834,219.538,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,640,606.73,25.32,125.673,289.858,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,640.8,33.56,122.988,218.669,0.008,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,670.32,27.5,126.427,266.864,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,465.79,6.6,122.718,1112.624,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,501.21,12.26,129.854,598.616,0.005,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,667.5,27.61,131.123,265.744,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,500.45,12.28,136.842,597.71,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,497.65,12.35,139.755,594.364,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,665.01,27.72,130.349,264.751,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,697.79,35.22,132.898,208.35,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,696.03,35.31,125.355,207.825,0.009,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,639.77,33.61,124.238,218.317,0.048,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,464.91,6.61,120.049,1110.538,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,463.97,6.62,126.06,1108.294,0.031,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,697.06,35.26,113.857,208.132,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,512,545.58,22.52,135.043,325.805,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,465.79,6.6,122.718,1112.624,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,700.11,35.1,126.768,209.045,0.008,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,128,465.03,6.61,113.689,1110.827,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,496.31,12.38,122.857,592.764,0.005,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,664.15,27.75,122.758,264.409,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,768,669.04,27.55,132.763,266.354,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,639.81,33.61,119.791,218.33,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,640,614.12,25.01,125.435,293.389,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,512,540.83,22.72,136.086,322.968,0.004,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,896,647.2,33.23,122.741,220.852,0.007,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,1024,697.78,35.22,123.672,208.347,0.006,singularity
betzy-intel-mpich-container,NF2000climo-f19_f19_mg17,256,497.39,12.35,129.073,594.054,0.006,singularity
